order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max,res,
1,680.988586132,7.566539846,677.205316209,684.771856055,0.0068105669,0,0,1111,0,0,99989.9999988259,100000
2,680.988586132,7.566539846,677.205316209,684.771856055,0.002270189,0,0,3333,0,0,299969.999996478,300000
3,680.988586132,7.566539846,677.205316209,684.771856055,0.0013618682,0,0,5556,0,0,500039.999994129,500000
4,680.988586132,7.566539846,677.205316209,684.771856055,0.000972813,0,0,7778,0,0,700019.999991781,700000
5,680.988586132,7.566539846,677.205316209,684.771856055,0.000756654,0,0,10000,0,0,899999.999989432,900000
