order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max
48,1276.8535989975,26.6011166458,1263.5530406746,1290.1541573204,0.0020462397,0.0020249247,0.0020675547,13000,13136.8421052632,12865.9793814433
49,1250.7953622833,25.526435965,1238.0321443008,1263.5585802657,0.0020044797,0.0019840259,0.0020249336,12734.693877551,12865.9793814433,12606.0606060606
50,1225.7794550376,24.5155891008,1213.5216604872,1238.037249588,0.0019643902,0.0019447463,0.0019840341,12480,12606.0606060606,12356.4356435644
51,1201.7445637624,23.5636188973,1189.9627543137,1213.526373211,0.0019258727,0.0019069916,0.0019447538,12235.2941176471,12356.4356435644,12116.5048543689
52,1178.6340913823,22.6660402189,1167.3010712729,1189.9671114918,0.0018888367,0.0018706748,0.0019069986,12000,12116.5048543689,11885.7142857143
53,1156.3957122996,21.8187870245,1145.4863187874,1167.3051058119,0.0018531983,0.0018357153,0.0018706813,11773.5849056604,11885.7142857143,11663.5514018692
54,1134.9809768867,21.0181662386,1124.4718937673,1145.490060006,0.0018188798,0.0018020383,0.0018357213,11555.5555555556,11663.5514018692,11449.5412844037
55,1114.3449591251,20.2608174386,1104.2145504058,1124.4753678444,0.0017858092,0.0017695746,0.0018020439,11345.4545454545,11449.5412844037,11243.2432432432
56,1094.4459419979,19.5436775357,1084.67410323,1104.2177807657,0.0017539198,0.0017382598,0.0017695798,11142.8571428571,11243.2432432432,11044.2477876106
57,1075.2451359979,18.8639497543,1065.8131611207,1084.6771108751,0.0017231493,0.0017080339,0.0017382646,10947.3684210526,11044.2477876106,10852.1739130435
58,1056.7064267566,18.2190763234,1047.5968885949,1065.8159649182,0.0016934398,0.0016788412,0.0017080384,10758.6206896552,10852.1739130435,10666.6666666667
59,1038.796148337,17.6067143786,1029.9927911477,1047.5995055262,0.0016647374,0.0016506295,0.0016788454,10576.2711864407,10666.6666666667,10487.3949579832
60,1021.482879198,17.0247146533,1012.9705218714,1029.9952365247,0.0016369918,0.0016233502,0.0016506334,10400,10487.3949579832,10314.0495867769
61,1004.7372582275,16.4711025939,996.5017069306,1012.9728095245,0.0016101559,0.0015969579,0.0016233539,10229.5081967213,10314.0495867769,10146.3414634146
62,988.5318185787,15.94406159,980.5597877837,996.5038493737,0.0015841856,0.0015714099,0.0015969613,10064.5161290323,10146.3414634146,9984
63,972.8408373314,15.4419180529,965.119878305,980.5617963579,0.0015590398,0.0015466665,0.0015714131,9904.7619047619,9984,9826.7716535433
64,957.6401992481,14.9631281133,950.1586351915,965.1217633047,0.0015346798,0.0015226901,0.0015466695,9750,9826.7716535433,9674.4186046512
65,942.9072731058,14.5062657401,935.6541402358,950.1604059759,0.0015110693,0.0014994457,0.001522693,9600,9674.4186046512,9526.7175572519
66,928.6207992709,14.0700121102,921.5857932158,935.655805326,0.0014881744,0.0014769003,0.0014994484,9454.5454545455,9526.7175572519,9383.4586466166
67,914.7607873415,13.6531460797,907.9342143016,921.5873603814,0.0014659628,0.0014550228,0.0014769028,9313.4328358209,9383.4586466166,9244.4444444445
68,901.3084228218,13.2545356297,894.6811550069,907.9356906366,0.0014444045,0.0014337839,0.0014550251,9176.4705882353,9244.4444444445,9109.4890510949
69,888.2459819113,12.8731301726,881.809416825,894.6825469976,0.0014234711,0.0014131561,0.0014337861,9043.4782608696,9109.4890510949,8978.4172661871
70,875.5567535983,12.5079536228,869.3027767869,881.8107304097,0.0014031358,0.0013931134,0.0014131582,8914.2857142857,8978.4172661871,8851.0638297872
71,863.2249683363,12.1580981456,857.1459192635,869.3040174091,0.0013833733,0.0013736313,0.0013931154,8788.7323943662,8851.0638297872,8727.2727272727
72,851.235732665,11.8227185092,845.3243734104,857.1470919196,0.0013641598,0.0013546865,0.0013736332,8666.6666666667,8727.2727272727,8606.8965517241
73,839.5749692038,11.5010269754,833.8244557161,845.3254826915,0.0013454727,0.0013362571,0.0013546883,8547.9452054795,8606.8965517241,8489.7959183674
74,828.2293615119,11.1922886691,822.6332171773,833.8255058464,0.0013272906,0.0013183225,0.0013362588,8432.4324324324,8489.7959183674,8375.8389261745
75,817.1863033584,10.8958173781,811.7383946693,822.6342120475,0.0013095934,0.0013008628,0.0013183241,8320,8375.8389261745,8264.9006622517
76,806.4338519984,10.6109717368,801.12836613,811.7393378668,0.0012923619,0.0012838596,0.0013008643,8210.5263157895,8264.9006622517,8156.862745098
